11000,INFO,536,1,0

12003,INFO,321,2,0

13004,INFO,498,3,0

14007,INFO,393,4,0

1215008,INFO,565,1,0

1216011,INFO,314,2,0

1217012,INFO,538,3,0

1218015,INFO,388,4,0

2419016,INFO,562,1,0

2420019,INFO,311,2,0

2421020,INFO,535,3,0

2422023,INFO,383,4,0

3623024,INFO,556,1,0

3624027,INFO,309,2,0

3625028,INFO,531,3,0

3626031,INFO,380,4,0

4827033,INFO,550,1,0

4828035,INFO,306,2,0

4829037,INFO,528,3,0

4830039,INFO,377,4,0

6031041,INFO,544,1,0

6032043,INFO,303,2,0

6033045,INFO,524,3,0

6034046,INFO,374,4,0

7235049,INFO,538,1,0

7236050,INFO,301,2,0

7237053,INFO,521,3,0

7238054,INFO,371,4,0

7320406,INFO,515,1,0

7321407,INFO,303,2,0

7322409,INFO,490,3,0

7323411,INFO,366,4,0

3935,INFO,510,1,0

4936,INFO,303,2,0

5939,INFO,481,3,0

6940,INFO,361,4,0

1207943,INFO,525,1,0

1208944,INFO,297,2,0

1209947,INFO,513,3,0

1210948,INFO,361,4,0

2411951,INFO,523,1,0

2412952,INFO,295,2,0

2413955,INFO,505,3,0

2414956,INFO,360,4,0

